# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Name,Price,Reviews,Ratings,Product Details
"Genie Miami Laptop Backpack for Women,Tuition bag, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",803,4.2,,
"Fancyku® School Backpack for Girls, StellaLou Cartoon School Backpack Large Capacity Girls Backpack for School, Travel, Camping, Burden-relief School Backpack for Kids 6-12 Years Old","1,299",,,
Denim Multiorganizer Backpack Compatible with 15.6 inch laptop,485,3.4,,
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,3.6,,
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,4.3,,
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),249,3.7,,
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),699,3.6,,
NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag (Black),459,4.2,,
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",609,3.8,,
URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,431,3.5,,
"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",735,4.1,,
"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink)","1,200",4.4,,
Impulse Imptag 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with Rain Cover & 1 Year Warranty,702,3.2,,
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.4,,
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",4.0,,
"Bennett Casual Laptop Bag School Bags for Boys Girls 15.6-inch, 25 LTR Office & College bags for Mens Water Repellent Backpack for Men & Women (GREY)",512,3.9,,
"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",735,4.1,,
Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,649,3.7,,
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",479,3.9,,
Lavie Women's Odiase Medium Satchel Bag | Ladies Purse Handbag,"1,099",4.1,,
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,499,4.2,,
Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Orange),269,3.1,,
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,339,3.8,,
"WALKENT Stylish & Durable 15.6"" Laptop Bag | Anti-Theft Lock & Pocket | Waterproof | Side Bottle Pocket | 2 Compartment | Men & Women | Office & College","1,490",,,
"Swiss Military laptop Bag, Camouflage Print Multi Utility Backpack, Polyester, Adjustable Strap, USB Charging Socket (LBP96)","1,202",3.3,,
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),698,3.9,,
ADISA Women's Girls Party Sling Bag Crossbody,394,4.0,,
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",399,4.0,,
Genie Flamenco2 Casual Backpacks for Women,733,4.3,,
ADISA Laptop Backpack 31 Ltrs,399,4.0,,
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0,,
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,699,4.1,,
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",399,4.0,,
Veneer Synthetic Leather 30 Litre Casual 15.6 Inch Laptop Shoulder Business Travel Backpack for Unisex,"1,774",,,
"UPPERCASE Sigma Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,100",4.7,,
Aristocrat Hi Space 40L Unisex Wine Laptop Bags,"1,051",4.1,,
FRBG-NAVY BLUE LAPTOP BACKPACK,799,5.0,,
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),249,3.7,,
Mammon Women's Tote Bag,264,3.6,,
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),699,3.6,,
NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag (Black),459,4.2,,
ASTRID Blue Diamond Textured Cotton Tote Bag,589,4.4,,
Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Orange),269,3.1,,
Genie Flamenco2 Casual Backpacks for Women,733,4.3,,
"Bennett Casual Laptop Bag School Bags for Boys Girls 15.6-inch, 25 LTR Office & College bags for Mens Water Repellent Backpack for Men & Women (GREY)",512,3.9,,
Impulse Seacon 40L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,"1,517",3.6,,
BORA Bag nano17 Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Blue Yellow Casual Utility Backpack (Leather Edition),459,4.1,,
"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)",395,4.1,,
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",479,3.9,,
Lavie Sport Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,849,3.9,,
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"1,349",4.1,,
Lino Perros womens handbag,"1,168",4.1,,
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,499,4.2,,
Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,350,4.0,,
